aX,aY,aZ,gX,gY,gZ
-0.201,1.481,1.918,-59.021,5.371,-8.179
-0.153,1.320,1.718,18.433,14.954,29.053
0.021,1.148,1.510,31.982,14.404,40.222
0.103,1.188,1.537,33.325,13.977,28.625
0.158,1.417,1.744,37.415,16.724,10.071
0.149,1.570,1.793,72.815,25.269,-27.344
0.098,1.698,1.782,103.271,20.874,-33.508
0.077,1.674,1.744,173.645,-5.249,-12.390
0.090,1.631,1.545,207.275,-18.555,-1.038
0.078,1.555,1.411,238.892,-27.283,2.197
0.014,1.262,1.073,288.818,-32.593,1.343
0.008,1.116,0.940,303.345,-36.804,9.338
0.016,0.986,0.843,315.674,-42.297,23.926
0.001,0.715,0.676,319.275,-38.757,21.606
-0.020,0.610,0.569,320.923,-35.034,2.686
-0.082,0.518,0.412,309.326,-36.804,-0.610
-0.097,0.534,0.408,290.466,-24.414,-3.296
-0.061,0.519,0.419,293.945,-10.010,-15.320
-0.039,0.483,0.449,309.509,14.832,-40.405
-0.017,0.369,0.393,314.880,27.954,-54.199
-0.002,0.240,0.334,322.082,5.188,-47.729
0.021,0.172,0.366,315.002,-33.508,-25.146
0.010,0.301,0.435,289.124,-71.533,-2.747
-0.031,0.343,0.498,288.513,-56.519,-11.108
-0.026,0.140,0.426,324.707,-50.171,-8.179
-0.062,-0.123,0.072,342.224,-86.060,17.700
-0.110,-0.052,-0.099,347.839,-152.893,78.979
-0.129,-0.090,-0.214,333.923,-152.405,97.229
-0.136,-0.343,-0.183,323.364,-139.282,122.192
-0.122,-0.641,-0.439,333.191,-127.930,131.104
-0.086,-0.745,-0.795,356.689,-58.167,122.314
0.043,-1.299,-1.803,347.412,-15.015,111.877
0.140,-1.729,-2.297,236.450,18.982,98.206
0.358,-2.384,-2.728,146.606,5.066,104.126
0.478,-2.428,-2.724,-17.761,-5.371,99.304
0.620,-2.262,-2.528,-77.637,19.531,61.646
0.564,-2.166,-2.279,-197.510,73.547,-32.959
0.347,-1.749,-1.606,-260.132,80.627,-49.805
0.286,-1.477,-1.278,-353.516,63.538,-29.053
0.274,-1.024,-0.718,-378.784,50.049,-15.808
0.261,-0.824,-0.492,-395.142,26.672,-6.775
